"yellow_sponge","orange_sponge","red_sponge","unknown_other_porifera","anemone","aggregating.anemone","purple.encrusting.hydrocoral","hydroid","pacific.sea.nettle","lions.mane","moon_jelly","egg_jelly","flat_worm","nonsegmented_worm","segmented_worm","tubeworm","chiton_lined","chiton_mossy","chiton_hairy","chiton_leather","limpet","topsnail","turban_snail","margarite","periwinkle","bittium","wentletrap","dogwinkle","welk","olive","other_unknown_gastropoda","sea_clown","dorid","sea_lemon","other_unknown_opisthobranchia","mussel","oyster","clam","scallop","other_unknown_bivalvia","barnacles","isopods","amphipods","shrimp","black_clawed","hemigrapsus","hermit_crabs","kelp_crab","porcelain","rock_crab","other_unknown_decapoda","orange_encrusting","other_unknown_bryozoa","blood","evasterias","leather","leptasterias","pisaster","brittle","urchin","cucumber","tunicate","sea_squirt","other_unknown_tunicata","clingfish","sculpin","gunnel","other_unknown_osteichthyes"
0,6,0,4,4,0,0,0,0,0,0,0,0,0,5,22,6,3,4,0,5,1,0,0,0,0,0,0,8,0,9,0,0,0,0,0,7,3,0,0,0,0,0,0,19,8,3,1,9,3,0,0,0,0,0,0,4,2,0,21,39,0,2,1,0,0,7,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,50,0,0,0,0,0,0,12,3,0,4,0,0,0,0,4,1,0,0,0,0,4,0,0,4,0,0,3,5,0,0,0,0,0,0,0,2,0,0,2,10,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,10,2,0,0,0,0,0,0,0,0,0,0,4,8,16,0,1,0,6,19,0,0,0,4,0,2,5,0,13,0,0,0,0,0,8,5,0,0,0,0,1,0,1,0,12,3,9,0,0,1,3,0,0,1,1,0,1,0,5,18,6,0,0,0,1,0
0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,5,4,5,10,4,164,0,20,0,0,0,0,5,7,0,20,0,0,0,1,0,8,2,0,0,5,0,1,0,0,13,28,0,3,1,0,1,0,1,0,1,3,0,0,3,9,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,7,6,0,0,0,36,23,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,2,0,0,4,0,13,0,10,1,1,0,2,1,1,0,0,1,1,0,0,0,7,0,1,0,0,0,7,0
0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,8,5,3,2,93,2,0,0,0,0,0,7,6,0,7,0,0,1,0,0,1,0,0,1,2,0,3,0,3,1,20,1,2,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,2,2,0,0,0,0,0,0,0,0,4,6,29,19,1,0,0,10,54,11,0,0,0,0,6,1,0,0,0,0,0,0,0,2,3,0,0,4,0,4,0,1,5,49,11,17,2,0,1,1,2,3,2,2,0,1,2,11,0,7,0,0,0,4,1
0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,10,4,2,2,117,10,13,0,0,0,0,6,4,0,2,0,0,0,0,8,4,1,0,0,1,0,0,2,0,24,92,6,0,0,1,0,0,0,1,0,16,0,0,23,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,3,2,0,0,0,0,0,0,0,0,0,6,40,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,0,6,0,7,0,19,1,4,3,20,5,1,0,0,1,2,3,10,0,15,0,6,4,4,0,0,0,8,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,27,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,31,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,4,5,0,0,0,0,0,0,0,0,3,3,3,7,4,1,0,5,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,1,0,0,8,0,3,0,25,0,10,4,20,1,2,0,4,0,0,1,8,0,2,9,25,1,2,0,0,0,6,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,13,1,1,88,32,7,0,0,0,0,0,2,0,7,0,0,0,0,6,4,1,0,0,8,4,1,0,2,5,16,0,3,0,5,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,5,1,0,0,0,0,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,0,0,0,0,0,0,0,0,0,0,5,4,1,6,0,0,51,1,0,0,0,0,0,0,5,0,7,0,0,0,0,3,2,2,1,4,0,5,4,0,17,2,6,2,51,0,0,0,2,0,0,0,5,0,3,0,6,0,3,0,1,0,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,1,155,1,0,0,0,0,0,1,24,0,50,0,0,0,0,6,2,0,0,0,0,0,0,0,5,51,32,3,36,0,0,0,1,0,0,0,8,0,0,2,3,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,0,0,19,0,0,0,0,0,0,0,9,0,4,0,2,0,0,0,0,4,0,0,0,0,9,0,14,2,17,0,19,0,8,0,0,0,0,0,7,0,4,0,12,0,3,0,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,2,0,27,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,39,1,10,0,0,2,0,0,7,0,6,0,15,0,4,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,1,0,171,0,0,0,0,0,0,0,8,0,4,0,0,0,0,12,1,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
