"site","Shannon_Index"
"X1L",2.86886093658448
"X1M",2.22180866190265
"X1U",0.78370331818134
"X2L",3.02819346358438
"X2M",2.15905456846716
"X2U",0.22181739985074
"X3L",2.59824416960796
"X3M",2.09906006829077
"X3U",0.339878830414062
"X4L",2.85153957893621
"X4M",2.22705686424986
"X4U",1.2977213238953
"X5L",2.82943850609894
"X5M",1.69064916481233
"X5U",0.30682915344097
"X6L",3.01896972691458
"X6M",2.30913165119084
"X6U",2.32725584627256
"X7L",2.63146990153955
"X7M",2.10391598239283
"X7U",0.533961612789336
"X8L",2.8238229331462
"X8M",2.33386270153787
"X8U",1.01312770623069
